Catalogue Number ,AcquisitionNumber,Title,Group,Region,Region URI,Region Web View,City,City URI,City Web View,Date (BC),Classification,Typology,ObjectType,Medium,Medium URI,Medium Web View,Overall Munsell,Overall Height (cm),Overall Width (cm),Overall Depth (cm),Overall Length (cm),Overall Diameter (cm),Image URL,Collection Page URL
1,76.AD.11.1,Statue of a Seated Poet (Orpheus?),Group of a Seated Poet and Sirens,South Italy,http://vocab.getty.edu/tgn/4005365,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&english=Y&subjectid=4005365,Taranto,http://vocab.getty.edu/tgn/1003500,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&english=Y&subjectid=1003500,330-300 ,Sculpture,Statue,Mythological figure ,Terracotta with Polychromy ,http://vocab.getty.edu/aat/300047296; http://vocab.getty.edu/aat/300247962,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296; http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300247962 ,7.5 yr 8/3-8/5,104,56.8,100.6,,,http://www.getty.edu/museum/media/images/web/enlarge/015299F3V1.jpg,http://www.getty.edu/art/collection/objects/13144/unknown-maker-statue-of-a-seated-poet-orpheus-greek-tarantine-350-300-bc/
2,76.AD.11.2,Statue of a Standing Siren A ,Group of a Seated Poet and Sirens,South Italy,http://vocab.getty.edu/tgn/4005365,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&english=Y&subjectid=4005365,Taranto,http://vocab.getty.edu/tgn/1003500,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&english=Y&subjectid=1003500,330-300 ,Sculpture,Statue,Mythological figure ,Terracotta with Polychromy ,http://vocab.getty.edu/aat/300047296; http://vocab.getty.edu/aat/300247962,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296; http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300247962 ,7.5 yr 8/3,140,35.8,55.2,49.1,,http://www.getty.edu/museum/media/images/web/enlarge/015300F2V1.jpg,http://www.getty.edu/art/collection/objects/13145/unknown-maker-statue-of-a-standing-siren-greek-tarantine-350-300-bc/
3,76.AD.11.3,Statue of a Standing Siren B,Group of a Seated Poet and Sirens,South Italy,http://vocab.getty.edu/tgn/4005365,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&english=Y&subjectid=4005365,Taranto,http://vocab.getty.edu/tgn/1003500,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&english=Y&subjectid=1003500,330-300 ,Sculpture,Statue,Mythological figure ,Terracotta with Polychromy ,http://vocab.getty.edu/aat/300047296; http://vocab.getty.edu/aat/300247962,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296; http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300247962 ,7.5 yr 8/3,140,48,68,56.2,,http://www.getty.edu/museum/media/images/web/enlarge/015301F2V1.jpg,http://www.getty.edu/art/collection/objects/13146/unknown-maker-statue-of-a-standing-siren-greek-tarantine-350-300-bc/
4,82.AD.93.12,Head of a Man,Group of Heads and Busts from the Taranto Region,South Italy,http://vocab.getty.edu/tgn/4005365,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&english=Y&subjectid=4005365,Taranto,http://vocab.getty.edu/tgn/1003500,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&english=Y&subjectid=1003500,Late fifth century ,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,7.5 yr 8/4; 5 yr 7/6,13.5,13.8,,,,http://www.getty.edu/museum/media/images/web/enlarge/01663801.jpg,http://www.getty.edu/art/collection/objects/14442/unknown-maker-fragment-of-a-female-statue-greek-south-italian-tarantine-350-300-bc/
5,82.AD.93.13,Head of a Man,Group of Heads and Busts from the Taranto Region,South Italy,http://vocab.getty.edu/tgn/4005365,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&english=Y&subjectid=4005365,Taranto,http://vocab.getty.edu/tgn/1003500,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&english=Y&subjectid=1003500,Late fourth-early third century,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,2.5 yy 8/3,17.1,14.3,,,,http://www.getty.edu/museum/media/images/web/enlarge/01663901.jpg,http://www.getty.edu/art/collection/objects/14443/unknown-maker-fragment-of-a-male-statue-greek-south-italian-tarantine-350-300-bc/
6,82.AD.93.18,Head of a Man,Group of Heads and Busts from the Taranto Region,South Italy,http://vocab.getty.edu/tgn/4005365,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&english=Y&subjectid=4005365,Taranto,http://vocab.getty.edu/tgn/1003500,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&english=Y&subjectid=1003500,Fourth century,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,10 yr 8/3-8/4,13.1,9.1,,,,http://www.getty.edu/museum/media/images/web/enlarge/01664401.jpg,http://www.getty.edu/art/collection/objects/14448/unknown-maker-fragment-of-a-male-statue-greek-south-italian-tarantine-350-300-bc/
7,82.AD.93.11,Head of a Male Banqueter,Group of Heads and Busts from the Taranto Region,South Italy,http://vocab.getty.edu/tgn/4005365,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&english=Y&subjectid=4005365,Taranto,http://vocab.getty.edu/tgn/1003500,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&english=Y&subjectid=1003500,400-300 ,Sculpture,Head,,Terracotta  ,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,2.5 yr 8/3-8/4,20.3,13.9,,,,http://www.getty.edu/museum/media/images/web/download/01663701.jpg,http://www.getty.edu/art/collection/objects/14441/unknown-maker-fragment-of-a-male-statue-greek-south-italian-tarantine-350-300-bc/
8,82.AD.93.9,Head of a Male Banqueter,Group of Heads and Busts from the Taranto Region,South Italy,http://vocab.getty.edu/tgn/4005365,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&english=Y&subjectid=4005365,Taranto,http://vocab.getty.edu/tgn/1003500,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&english=Y&subjectid=1003500,Fourth century ,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,7.5 yr 8/6,17.2,14.5,,,,http://www.getty.edu/museum/media/images/web/enlarge/01663501.jpg,http://www.getty.edu/art/collection/objects/14439/unknown-maker-head-of-a-singing-reclining-youth-greek-south-italian-tarantine-410-350-bc/
9,82.AD.93.3,Head of a Woman,Group of Heads and Busts from the Taranto Region,South Italy,http://vocab.getty.edu/tgn/4005365,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&english=Y&subjectid=4005365,Taranto,http://vocab.getty.edu/tgn/1003500,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&english=Y&subjectid=1003500,About 350 ,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,5 yr 7/6-7/8,17.8,14.1,,,,http://www.getty.edu/museum/media/images/web/enlarge/01662901.jpg,http://www.getty.edu/art/collection/objects/14433/unknown-maker-fragment-of-a-female-statue-greek-south-italian-tarantine-350-300-bc/
10,82.AD.93.2,Head of a Woman,Group of Heads and Busts from the Taranto Region,South Italy,http://vocab.getty.edu/tgn/4005365,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&english=Y&subjectid=4005365,Taranto,http://vocab.getty.edu/tgn/1003500,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&english=Y&subjectid=1003500,About 350,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,10 yr 8/3,23.5,17.2,,,,http://www.getty.edu/museum/media/images/web/download/01662801.jpg,"http://www.getty.edu/art/collection/objects/14432/unknown-maker-head-of-a-female-figure-greek-south-italian-tarantine-about-350-bc/?dz=0.5000,0.6251,0.45"
