Catalogue Number ,AcquisitionNumber,Title,Group,Location,Site,Pleiades,TGN,TGN Web View,Start Date Range (BC),End Date Range (BC),Catalogue Date Text (BC),Classification,Typology,ObjectType,Medium,AAT,AAT Web View,Overall Munsell,Overall Height (cm),Overall Width (cm),Overall Depth (cm),Overall Length (cm),Overall Diameter (cm),Image URL,Collection Page URL
1,76.AD.11.1,Statue of a Seated Poet (Orpheus?),Group of a Seated Poet and Sirens,Taranto region,Taranto,http://pleiades.stoa.org/places/442810,http://vocab.getty.edu/tgn/1003500,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=1003500,330,300,330-300,Sculpture,Statue,Mythological figure ,Terracotta; Polychromy ,http://vocab.getty.edu/aat/300047296; http://vocab.getty.edu/aat/300247962,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296; http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300247962 ,7.5 yr 8/3-8/5,104,56.8,100.6,,,http://www.getty.edu/museum/media/images/web/enlarge/015299F11V1.jpg,http://www.getty.edu/art/collection/objects/13144
2,76.AD.11.2,Statue of a Standing Siren A ,Group of a Seated Poet and Sirens,Taranto region,Taranto,http://pleiades.stoa.org/places/442810,http://vocab.getty.edu/tgn/1003500,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=1003500,330,300,330-300,Sculpture,Statue,Mythological figure ,Terracotta; Polychromy ,http://vocab.getty.edu/aat/300047296; http://vocab.getty.edu/aat/300247962,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296; http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300247962 ,7.5 yr 8/3,140,35.8,55.2,49.1,,http://www.getty.edu/museum/media/images/web/enlarge/015300F10V1.jpg,http://www.getty.edu/art/collection/objects/13145
3,76.AD.11.3,Statue of a Standing Siren B,Group of a Seated Poet and Sirens,Taranto region,Taranto,http://pleiades.stoa.org/places/442810,http://vocab.getty.edu/tgn/1003500,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=1003500,330,300,330-300,Sculpture,Statue,Mythological figure ,Terracotta; Polychromy ,http://vocab.getty.edu/aat/300047296; http://vocab.getty.edu/aat/300247962,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296; http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300247962 ,7.5 yr 8/3,140,48,68,56.2,,http://www.getty.edu/museum/media/images/web/enlarge/015301F2V1.jpg,http://www.getty.edu/art/collection/objects/13146
4,82.AD.93.12,Head of a Man,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,425,400,Late fifth century,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,7.5 yr 8/4; 5 yr 7/6,13.5,13.8,,,,http://www.getty.edu/museum/media/images/web/enlarge/01663801.jpg,http://www.getty.edu/art/collection/objects/14442
5,82.AD.93.13,Head of a Man,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,325,275,Late fourth-early third century,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,2.5 yy 8/3,17.1,14.3,,,,http://www.getty.edu/museum/media/images/web/enlarge/01663901.jpg,http://www.getty.edu/art/collection/objects/14443
6,82.AD.93.18,Head of a Man,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,400,300,Fourth century,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,10 yr 8/3-8/4,13.1,9.1,,,,http://www.getty.edu/museum/media/images/web/enlarge/01664401.jpg,http://www.getty.edu/art/collection/objects/14448
7,82.AD.93.11,Head of a Male Banqueter,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,400,300,400-300,Sculpture,Head,,Terracotta  ,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,2.5 yr 8/3-8/4,20.3,13.9,,,,http://www.getty.edu/museum/media/images/web/enlarge/01663701.jpg,http://www.getty.edu/art/collection/objects/14441
8,82.AD.93.9,Head of a Male Banqueter,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,400,300,Fourth century ,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,7.5 yr 8/6,17.2,14.5,,,,http://www.getty.edu/museum/media/images/web/enlarge/01663501.jpg,http://www.getty.edu/art/collection/objects/14439
9,82.AD.93.3,Head of a Woman,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,375,325,About 350 ,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,5 yr 7/6-7/8,17.8,14.1,,,,http://www.getty.edu/museum/media/images/web/enlarge/01662901.jpg,http://www.getty.edu/art/collection/objects/14433
10,82.AD.93.2,Head of a Woman,Group of Heads and Busts from the Taranto Region,Taranto region,"Taranto, probably Saturo",http://pleiades.stoa.org/places/442789,http://vocab.getty.edu/tgn/7902181,http://www.getty.edu/vow/TGNFullDisplay?find=&place=&nation=&subjectid=7902181,375,325,About 350,Sculpture,Head,,Terracotta,http://vocab.getty.edu/aat/300047296,http://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300047296,10 yr 8/3,23.5,17.2,,,,http://www.getty.edu/museum/media/images/web/enlarge/01662801.jpg,http://www.getty.edu/art/collection/objects/14432
